2026-03-07 00:05:14 INFO  [batch] 夜間バッチ開始
2026-03-07 00:10:33 INFO  [batch] 夜間バッチ完了: 処理時間=319s
2026-03-07 08:00:00 INFO  [batch] 期限切れクーポン無効化: SALE20 期限=2026-02-28 → 無効化済み確認
2026-03-07 09:00:00 INFO  [api] GET /api/v1/products status=200 latency=43ms
2026-03-07 09:30:11 INFO  [auth] ログイン成功: user_id=1 ip=203.0.113.11
2026-03-07 10:00:00 INFO  [order] 注文受付: order_id=13 user_id=1 total=30800
2026-03-07 10:00:01 INFO  [inventory] 在庫引当完了: order_id=13 product_id=14 stock_after=59
2026-03-07 10:02:08 INFO  [payment] 決済完了: order_id=13 transaction_id=TXN-20260307-013
2026-03-07 10:02:09 INFO  [order] 注文ステータス更新: order_id=13 status=paid
2026-03-07 10:02:10 INFO  [email] 注文確認メール: to=tanaka.taro@example.com order_id=13
2026-03-07 10:30:00 INFO  [review] レビュー投稿: user_id=7 product_id=16 rating=4
2026-03-07 10:31:00 INFO  [review] 承認済み: review_id=7
2026-03-07 11:00:00 INFO  [review] レビュー投稿: user_id=8 product_id=17 rating=5
2026-03-07 11:01:00 INFO  [review] 承認済み: review_id=8
2026-03-07 12:00:00 INFO  [batch] 定時在庫同期完了: 差異なし
2026-03-07 14:00:00 INFO  [auth] ログイン成功: user_id=13 ip=198.51.100.77
2026-03-07 15:30:00 INFO  [order] 注文受付: order_id=14 user_id=13 total=17380
2026-03-07 15:30:01 INFO  [inventory] 在庫引当完了: order_id=14 product_id=18 stock_after=29
2026-03-07 15:31:08 INFO  [payment] 決済完了: order_id=14 transaction_id=TXN-20260307-014
2026-03-07 15:31:09 INFO  [order] 注文ステータス更新: order_id=14 status=confirmed
2026-03-07 15:31:10 INFO  [email] 注文確認メール: to=shimizu.takuya@example.com order_id=14
2026-03-07 16:00:00 INFO  [api] GET /api/v1/search?q=掃除機 status=200 hits=2 latency=88ms
2026-03-07 17:00:00 INFO  [shipment] 配送状況確認バッチ: order_id=9 status=in_transit
2026-03-07 18:00:00 INFO  [recommendation] 週次レコメンドモデル更新開始
2026-03-07 18:10:22 INFO  [recommendation] モデル更新完了: 対象ユーザー=20名
2026-03-07 21:00:00 INFO  [batch] 売上日次集計完了: 売上総額=48180円 注文件数=2件
2026-03-07 23:59:07 INFO  [monitor] ヘルスチェック: DB=OK API=OK CACHE=OK
